p_st,lat,long,pred_C,o_st
1,33.53817,149.61357,9.82466949,1
1,33.53852,149.61343,0.91149702,1
1,33.53937,149.61263,2.54218127,1
1,33.5402,149.61229,9.02375129,1
1,33.54053,149.60973,4.35389536,1
1,33.54263,149.60909,4.72665545,1
4,33.5448,149.60368,6.31476297,1
1,33.55976,149.60957,3.09326831,2
2,33.54539,149.60492,5.29317697,2
2,33.55029,149.60371,2.92899495,2
3,33.55828,149.61252,5.18703771,2
4,33.54306,149.60255,8.17868559,2
4,33.54624,149.60094,3.166562,2
4,33.54845,149.59607,4.30017589,2
5,33.54741,149.59839,1.89065714,2
5,33.54744,149.59592,3.44372084,2
1,33.54692,149.60614,5.77190374,3
2,33.54893,149.60878,4.95934924,3
2,33.55063,149.60504,7.07577829,3
2,33.55554,149.61478,5.90313295,3
3,33.55465,149.61534,5.89769732,3
4,33.55165,149.60255,4.4506644,3
5,33.55053,149.59518,0.88693042,3
2,33.54916,149.60947,7.30575355,4
2,33.54953,149.61218,4.51366975,4
2,33.55285,149.60544,4.24452121,4
3,33.55042,149.60989,3.47531238,4
3,33.55119,149.61119,0.50091793,4
4,33.55383,149.60698,5.39983907,4
4,33.55681,149.61137,9.2193809,4
5,33.56083,149.60492,15.0558642,4
6,33.55251,149.59505,5.55969716,4
6,33.55254,149.59908,2.46293938,4
3,33.55308,149.61035,8.4531136,5
3,33.55369,149.61156,6.43339655,5
3,33.55372,149.60898,2.96319426,5
3,33.55388,149.61029,3.99616609,5
4,33.55505,149.61005,3.35139145,5
5,33.55593,149.5995,3.11342589,5
5,33.55979,149.60316,0.86158441,5
6,33.55468,149.59509,5.46521713,5
6,33.55527,149.59741,1.41666022,5
5,33.55764,149.59761,4.84022169,6
5,33.56108,149.59843,3.30415207,6
6,33.55671,149.59647,9.1410392,6
6,33.55729,149.59457,7.63433525,6
6,33.55842,149.59793,3.97457301,6
6,33.56328,149.59953,7.27373279,6
