x,y,C_pct_1m
234136.938,6513027.5,1.013368
234136.938,6512997.5,1.016929
234286.938,6513537.5,1.019213
234106.938,6513267.5,1.021693
234166.938,6513027.5,1.022004
238726.938,6510207.5,1.024879
238876.938,6512157.5,1.025121
234286.938,6513507.5,1.025949
234076.938,6512997.5,1.029734
234286.938,6513387.5,1.030029
234106.938,6512997.5,1.03009
234106.938,6513027.5,1.034825
234196.938,6513027.5,1.036984
234076.938,6513027.5,1.038784
238906.938,6510657.5,1.040008
234256.938,6513387.5,1.041727
234136.938,6512967.5,1.044433
238876.938,6510657.5,1.044788
234166.938,6512997.5,1.045141
234196.938,6512997.5,1.051464
234046.938,6512997.5,1.054672
234136.938,6513237.5,1.05659
234226.938,6513027.5,1.056864
239206.938,6510057.5,1.060844
234436.938,6512877.5,1.061971
234106.938,6512967.5,1.063842
234436.938,6512907.5,1.066672
234406.938,6512877.5,1.067314
238876.938,6510627.5,1.067604
234106.938,6512937.5,1.06901
234166.938,6512967.5,1.069674
234136.938,6513297.5,1.069786
234076.938,6512937.5,1.069972
239386.938,6510027.5,1.070898
234406.938,6512847.5,1.071066
234406.938,6512907.5,1.071071
234466.938,6512907.5,1.071137
234406.938,6512817.5,1.07116
234316.938,6513537.5,1.071716
234076.938,6512967.5,1.07222
238906.938,6510627.5,1.072574
234316.938,6512907.5,1.072634
234346.938,6512907.5,1.072731
234316.938,6512877.5,1.072794
234376.938,6512907.5,1.072807
234376.938,6512847.5,1.072824
234346.938,6512877.5,1.072852
234346.938,6512817.5,1.072856
238906.938,6510687.5,1.072864
234316.938,6512847.5,1.072901
234376.938,6512877.5,1.072934
234346.938,6512847.5,1.072971
234316.938,6512817.5,1.073009
234376.938,6512817.5,1.073098
234496.938,6512727.5,1.073756
238696.938,6510237.5,1.074004
234316.938,6512787.5,1.074289
234316.938,6512727.5,1.074314
234316.938,6512757.5,1.074389
234376.938,6512757.5,1.074407
234376.938,6512727.5,1.074409
234376.938,6512787.5,1.074439
234346.938,6512757.5,1.074461
234346.938,6512727.5,1.074464
234346.938,6512787.5,1.07453
234466.938,6512727.5,1.074836
234436.938,6512757.5,1.074983
234316.938,6513567.5,1.075932
234106.938,6512907.5,1.07595
234436.938,6512787.5,1.075992
234286.938,6513357.5,1.076636
234136.938,6512937.5,1.076844
234436.938,6512727.5,1.077363
234406.938,6512727.5,1.077473
234406.938,6512787.5,1.077535
234256.938,6513417.5,1.077612
234166.938,6513297.5,1.078994
235846.938,6512487.5,1.079728
238846.938,6510657.5,1.079917
234316.938,6513597.5,1.080203
234406.938,6512757.5,1.080222
234316.938,6513387.5,1.080588
234466.938,6512877.5,1.081205
240076.938,6512967.5,1.081211
234286.938,6513477.5,1.081756
234346.938,6513567.5,1.082024
234106.938,6513087.5,1.082205
234136.938,6513057.5,1.082271
234136.938,6513087.5,1.082522
238846.938,6512127.5,1.082589
234016.938,6512967.5,1.082634
234376.938,6513267.5,1.082946
238876.938,6510687.5,1.083222
234346.938,6513537.5,1.083336
234496.938,6512907.5,1.083516
234226.938,6512877.5,1.083723
234466.938,6512757.5,1.083907
234256.938,6512847.5,1.083929
234226.938,6512817.5,1.084014
234256.938,6512817.5,1.084043
234106.938,6513057.5,1.084156
234226.938,6512847.5,1.084161
234346.938,6513267.5,1.084234
234166.938,6513057.5,1.08461
234046.938,6512967.5,1.084706
234376.938,6513297.5,1.084946
234226.938,6512907.5,1.085044
234346.938,6513657.5,1.085131
235246.938,6512997.5,1.085376
235846.938,6512457.5,1.085729
233926.938,6512877.5,1.085809
234286.938,6513087.5,1.087278
234346.938,6513597.5,1.087707
238846.938,6510627.5,1.087876
234286.938,6513327.5,1.087915
234796.938,6513627.5,1.088393
234286.938,6513567.5,1.088425
234046.938,6512937.5,1.088869
235876.938,6512487.5,1.08933
234166.938,6513237.5,1.08953
235846.938,6512517.5,1.090497
234346.938,6513687.5,1.090677
234316.938,6513147.5,1.090704
234346.938,6513387.5,1.09076
234136.938,6513267.5,1.090775
234166.938,6513267.5,1.091102
234376.938,6513627.5,1.091444
234406.938,6513297.5,1.091714
234316.938,6513267.5,1.091782
233956.938,6513087.5,1.091936
234316.938,6513507.5,1.091953
238936.938,6510657.5,1.09203
234226.938,6512787.5,1.092328
234256.938,6512787.5,1.092339
234226.938,6512757.5,1.092377
234256.938,6512757.5,1.092417
239176.938,6510027.5,1.092988
234346.938,6513627.5,1.093161
238906.938,6512157.5,1.093746
234286.938,6512907.5,1.094469
234376.938,6513657.5,1.094486
234256.938,6512877.5,1.094588
234256.938,6512907.5,1.094641
234286.938,6512877.5,1.094667
234286.938,6512847.5,1.094806
234826.938,6513627.5,1.094857
234286.938,6512817.5,1.094896
234286.938,6513297.5,1.095219
234346.938,6513297.5,1.095801
235696.938,6512787.5,1.096294
234286.938,6513117.5,1.0963
234166.938,6513087.5,1.096476
234436.938,6512847.5,1.096669
233926.938,6513087.5,1.096671
239206.938,6510867.5,1.097027
235906.938,6512517.5,1.097188
240316.938,6511797.5,1.097292
234376.938,6513387.5,1.097386
234046.938,6512907.5,1.097533
238876.938,6512187.5,1.097897
234316.938,6513627.5,1.097914
234376.938,6513597.5,1.098108
234496.938,6512757.5,1.098236
239056.938,6510627.5,1.098488
235906.938,6512487.5,1.099485
234796.938,6513597.5,1.099581
240286.938,6511797.5,1.099995
234466.938,6512787.5,1.101474
234346.938,6513117.5,1.101648
234136.938,6513117.5,1.101728
234376.938,6513327.5,1.102107
233986.938,6513117.5,1.102334
233956.938,6513117.5,1.102393
234286.938,6512757.5,1.103162
234286.938,6512787.5,1.103216
234316.938,6513657.5,1.103622
235876.938,6512517.5,1.103981
235786.938,6512547.5,1.10413
234316.938,6513297.5,1.104201
233926.938,6512907.5,1.104556
234316.938,6513117.5,1.105241
234046.938,6513147.5,1.105372
234436.938,6512817.5,1.105639
240286.938,6511827.5,1.105674
234316.938,6513327.5,1.106038
234196.938,6513057.5,1.106546
233896.938,6512907.5,1.106617
239716.938,6510927.5,1.106879
234346.938,6513327.5,1.106974
234286.938,6513267.5,1.107174
234406.938,6513327.5,1.107628
234046.938,6512877.5,1.107727
234226.938,6512997.5,1.107882
234016.938,6513177.5,1.107937
234016.938,6512937.5,1.108247
234436.938,6513387.5,1.108347
233836.938,6512967.5,1.108674
235726.938,6512547.5,1.108817
235876.938,6512457.5,1.109107
234016.938,6513147.5,1.10954
234346.938,6513147.5,1.109965
234046.938,6513027.5,1.110271
235756.938,6512547.5,1.110295
235816.938,6512457.5,1.110614
234406.938,6513267.5,1.110957
238906.938,6509937.5,1.111289
233926.938,6512937.5,1.111508
238846.938,6510687.5,1.111599
238906.938,6512187.5,1.111784
233956.938,6512937.5,1.112129
234076.938,6512907.5,1.112238
234286.938,6513147.5,1.112501
235816.938,6512517.5,1.112593
234256.938,6513297.5,1.11299
233986.938,6512937.5,1.113351
238876.938,6510597.5,1.113417
234826.938,6513657.5,1.113522
234136.938,6512907.5,1.114287
235816.938,6512487.5,1.114356
234196.938,6513087.5,1.114359
234826.938,6513417.5,1.114735
233926.938,6513057.5,1.114908
239176.938,6510837.5,1.115495
234196.938,6512877.5,1.11581
233986.938,6512967.5,1.115979
234046.938,6513177.5,1.116203
234346.938,6513507.5,1.116304
234166.938,6512907.5,1.116417
234376.938,6513567.5,1.116448
234466.938,6512847.5,1.116474
