x,y,C_pct_1m
423356.313,6055735.5,0.97469991
423326.313,6055705.5,0.98405069
428936.313,6058345.5,0.9904168
428996.313,6058315.5,0.99763671
428966.313,6058345.5,0.99835449
428936.313,6058315.5,1.0008879
428966.313,6058315.5,1.00136961
428966.313,6058285.5,1.00157441
428906.313,6058345.5,1.00229341
428996.313,6058285.5,1.00233951
428996.313,6058255.5,1.0024191
428936.313,6058285.5,1.00247059
428906.313,6058315.5,1.00247363
428906.313,6058285.5,1.00247547
428966.313,6058255.5,1.00250492
428906.313,6058255.5,1.00251433
428936.313,6058255.5,1.00271225
428996.313,6058345.5,1.01213081
428936.313,6058375.5,1.01300018
428966.313,6058375.5,1.01671299
428996.313,6058165.5,1.01783681
428906.313,6058165.5,1.01797275
428936.313,6058225.5,1.0180534
428966.313,6058195.5,1.01828956
428906.313,6058225.5,1.01830118
428996.313,6058225.5,1.0183275
428966.313,6058165.5,1.01832783
428966.313,6058225.5,1.0183728
428936.313,6058165.5,1.01837314
428936.313,6058195.5,1.01837536
428996.313,6058195.5,1.01844681
428906.313,6058195.5,1.01862315
428936.313,6058405.5,1.02110823
429086.313,6058255.5,1.02153903
431066.313,6058015.5,1.02256781
428936.313,6058435.5,1.02737871
428996.313,6058375.5,1.02772182
428966.313,6058405.5,1.02916514
431096.313,6058045.5,1.03026506
429086.313,6058345.5,1.0304994
429026.313,6058285.5,1.03163947
429056.313,6058285.5,1.03167475
429086.313,6058285.5,1.03195298
428966.313,6058435.5,1.03365905
428996.313,6058435.5,1.03392172
431096.313,6058015.5,1.03455581
429056.313,6058255.5,1.03483392
429026.313,6058255.5,1.03532498
429086.313,6058315.5,1.03641374
428996.313,6058405.5,1.03682564
428846.313,6058315.5,1.03795982
428876.313,6058255.5,1.03803339
428846.313,6058285.5,1.03803988
428816.313,6058255.5,1.03804239
428816.313,6058345.5,1.03804541
428846.313,6058255.5,1.03807843
428876.313,6058285.5,1.03811627
428816.313,6058285.5,1.03812538
428876.313,6058345.5,1.03818473
428876.313,6058315.5,1.03819694
428816.313,6058315.5,1.03820808
429056.313,6058315.5,1.03860464
432386.313,6058555.5,1.03998393
432386.313,6058585.5,1.03998834
432326.313,6058585.5,1.04000605
432356.313,6058555.5,1.04003332
432326.313,6058555.5,1.04004218
432326.313,6058615.5,1.04005087
432356.313,6058585.5,1.04007823
428846.313,6058345.5,1.04058804
431096.313,6058135.5,1.04125848
428816.313,6058405.5,1.04260067
428906.313,6058375.5,1.04361386
432296.313,6058465.5,1.04402549
432296.313,6058495.5,1.04402991
432266.313,6058465.5,1.04407444
432296.313,6058525.5,1.04407483
432266.313,6058495.5,1.04407918
432266.313,6058525.5,1.04412415
431096.313,6058075.5,1.0443082
429026.313,6058315.5,1.04447978
432266.313,6058555.5,1.04732102
432296.313,6058615.5,1.04744246
432296.313,6058585.5,1.04747864
432266.313,6058585.5,1.04748743
432266.313,6058615.5,1.04753224
432296.313,6058555.5,1.04759584
429086.313,6058405.5,1.04784387
431066.313,6058045.5,1.04837749
428846.313,6058375.5,1.04863774
432236.313,6058465.5,1.04864054
429026.313,6058345.5,1.04885684
428906.313,6058405.5,1.04899747
428906.313,6058435.5,1.04967998
429056.313,6058195.5,1.04969454
432206.313,6058495.5,1.04978866
432236.313,6058495.5,1.04990274
432236.313,6058525.5,1.04990753
432206.313,6058525.5,1.04991609
432206.313,6058465.5,1.05018291
429086.313,6058225.5,1.05115027
429026.313,6058225.5,1.05116027
429086.313,6058195.5,1.05159366
429056.313,6058165.5,1.0515964
429026.313,6058195.5,1.05160369
429086.313,6058165.5,1.05167238
428606.313,6057565.5,1.05289984
429056.313,6058405.5,1.05313351
432236.313,6058585.5,1.05318981
432206.313,6058585.5,1.05327953
432206.313,6058615.5,1.05328383
432236.313,6058615.5,1.05331564
432206.313,6058555.5,1.05335624
432236.313,6058555.5,1.05346907
429026.313,6058165.5,1.05354607
429056.313,6058225.5,1.05362671
428846.313,6058225.5,1.05459201
428876.313,6058195.5,1.0547069
428876.313,6058165.5,1.05474528
428846.313,6058165.5,1.05474991
428846.313,6058195.5,1.05475201
428816.313,6058225.5,1.05475857
428876.313,6058225.5,1.05479003
428816.313,6058195.5,1.05479704
428816.313,6058165.5,1.05511912
429056.313,6058345.5,1.05537941
431516.313,6057625.5,1.05804951
432356.313,6058525.5,1.06055298
432386.313,6058495.5,1.06062066
432356.313,6058465.5,1.06062515
432326.313,6058465.5,1.06067457
432326.313,6058525.5,1.0606834
428966.313,6058075.5,1.06068589
432386.313,6058465.5,1.06069723
432356.313,6058495.5,1.06071061
