X,Y,C_pct_1m
742729.558,6437363.25,0.61138963
742789.558,6437333.25,0.61543321
742879.558,6437363.25,0.61626643
742879.558,6437303.25,0.6169978
742819.558,6437303.25,0.61727797
742729.558,6437333.25,0.61787408
742759.558,6437333.25,0.61893952
742879.558,6437333.25,0.61990779
742819.558,6437273.25,0.62366519
742789.558,6437303.25,0.62509233
742849.558,6437333.25,0.62647191
742759.558,6437303.25,0.62682485
742729.558,6437303.25,0.62840373
742789.558,6437273.25,0.62918598
742789.558,6437363.25,0.63144756
742759.558,6437273.25,0.63411965
742819.558,6437333.25,0.63520398
742819.558,6437363.25,0.63721543
742849.558,6437363.25,0.63821311
742789.558,6437153.25,0.64505689
742729.558,6437273.25,0.64764197
742849.558,6437303.25,0.64874666
742759.558,6437363.25,0.65139439
742879.558,6437273.25,0.68218933
742849.558,6437273.25,0.68388032
742879.558,6437393.25,0.71039389
742699.558,6437213.25,0.72106857
742759.558,6437153.25,0.72176157
742789.558,6437183.25,0.72416843
742729.558,6437153.25,0.72664283
742729.558,6437243.25,0.72799031
742699.558,6437153.25,0.72848519
742789.558,6437213.25,0.72958588
742789.558,6437243.25,0.72983263
742849.558,6437393.25,0.73093768
742759.558,6437183.25,0.73110754
742759.558,6437243.25,0.73282991
742759.558,6437213.25,0.73285692
742729.558,6437183.25,0.73293206
742699.558,6437183.25,0.73306464
742729.558,6437213.25,0.73399823
742789.558,6437393.25,0.735269
742759.558,6437393.25,0.73633342
742729.558,6437393.25,0.73810529
742849.558,6437423.25,0.73847332
742789.558,6437423.25,0.74426423
742759.558,6437423.25,0.74575489
742729.558,6437423.25,0.74677727
742789.558,6437453.25,0.74786942
742759.558,6437453.25,0.74859257
742729.558,6437453.25,0.74914999
742699.558,6437333.25,0.74925363
742729.558,6437483.25,0.75037584
742609.558,6437303.25,0.75284454
742669.558,6437303.25,0.75656626
742699.558,6437303.25,0.75795757
742669.558,6437333.25,0.75800886
742639.558,6437303.25,0.76059243
742639.558,6437333.25,0.76074642
742609.558,6437273.25,0.76294471
742879.558,6437423.25,0.7634934
742609.558,6437333.25,0.76866757
742609.558,6437363.25,0.76942693
742639.558,6437273.25,0.76968331
742909.558,6437303.25,0.76995552
742909.558,6437363.25,0.7782786
742819.558,6437393.25,0.77891711
741439.558,6436343.25,0.77946887
741439.558,6436313.25,0.78024334
742939.558,6437363.25,0.78260418
742939.558,6437333.25,0.78601771
742939.558,6437303.25,0.78616595
742699.558,6437363.25,0.78618981
742819.558,6437423.25,0.78622276
742699.558,6437273.25,0.78648019
742669.558,6437363.25,0.78677583
742639.558,6437363.25,0.78697896
742879.558,6437453.25,0.78768771
742909.558,6437333.25,0.78774904
742969.558,6437273.25,0.78894846
741409.558,6436343.25,0.79073953
742849.558,6437453.25,0.79089052
742909.558,6437273.25,0.79189697
742669.558,6437273.25,0.79220383
742819.558,6437453.25,0.79236656
742939.558,6437273.25,0.79715265
741469.558,6436313.25,0.79728252
741409.558,6436373.25,0.80022874
741439.558,6436283.25,0.80383751
741379.558,6436343.25,0.80501993
